id,category_alias,category_title,restaurant_id,restaurant_name,restaurant_price,restaurant_review_count,restaurant_rating,restaurant_phone,restaurant_distance,restaurant_coordinates_latitude,restaurant_coordinates_longitude,restaurant_location_city,restaurant_location_zip_code,restaurant_location_address1
30,themedcafes,Themed Cafes,HKWblNIz05tlm7tH0ROblw,NaNum,,4,4.5,+491772084785,2722.1495188242216,52.5025789213273,13.394095435339,Berlin,10969,Lindenstr. 90
31,pizza,Pizza,6xWLh3tMHxwg3o9uSkpF0g,Muckrakers Pizza,€,15,4.5,+493085612456,598.9572473865429,52.522359,13.384006,Berlin,10117,Marienstr. 18
32,german,German,MV2ZhPtmZQJ2WCVgzEA5XQ,Zur Haxe,€€,82,4.5,+49304216312,4712.711882389639,52.54477,13.43699,Berlin,10409,Erich-Weinert-Str. 128
33,ramen,Ramen,UtXUOUPGFyGAwWyEH3sCng,Takumi'9 Sapporo,€€,38,4.5,,794.5626986632531,52.52903,13.38472,Berlin,10115,Chausseestr. 124
34,mediterranean,Mediterranean,JtIJESqexMTtznNchqaG0g,Mezem,€,40,5.0,+4917683220425,4811.574286216521,52.50629,13.311274,Berlin,10625,Kantstr. 124
35,french,French,RUH98f6xTacjyDHkOVyoBA,Mirage Bistrot,,3,4.5,+493046992074,2341.426078199031,52.5450588943835,13.3691697567701,Berlin,13347,Reinickendorfer Str. 110
36,breakfast_brunch,Breakfast & Brunch,RUH98f6xTacjyDHkOVyoBA,Mirage Bistrot,,3,4.5,+493046992074,2341.426078199031,52.5450588943835,13.3691697567701,Berlin,13347,Reinickendorfer Str. 110
37,mediterranean,Mediterranean,RUH98f6xTacjyDHkOVyoBA,Mirage Bistrot,,3,4.5,+493046992074,2341.426078199031,52.5450588943835,13.3691697567701,Berlin,13347,Reinickendorfer Str. 110
38,tapasmallplates,Tapas/Small Plates,0f3-k1Hyu6__ajXjRpDbCg,Volver,€€,63,4.0,+493027572164,355.7619922746784,52.52228,13.37987,Berlin,10117,Luisenstr. 41
39,seafood,Seafood,BEtU3mWiEfNR8ycNCENdvg,Der Fischladen,€€,116,4.5,+493040005612,3433.250891326959,52.54599,13.4125599,Berlin,10437,Schönhauser Allee 128
40,fishmonger,Fishmonger,BEtU3mWiEfNR8ycNCENdvg,Der Fischladen,€€,116,4.5,+493040005612,3433.250891326959,52.54599,13.4125599,Berlin,10437,Schönhauser Allee 128
41,fishnchips,Fish & Chips,BEtU3mWiEfNR8ycNCENdvg,Der Fischladen,€€,116,4.5,+493040005612,3433.250891326959,52.54599,13.4125599,Berlin,10437,Schönhauser Allee 128
42,japanese,Japanese,ooJMgzHAeg9XuPbKnkBVng,Ushido,€€€,48,4.5,+493055242448,3378.2181934121986,52.5423217870669,13.4161812346983,Berlin,10437,Lychener Str. 18
43,bbq,Barbeque,ooJMgzHAeg9XuPbKnkBVng,Ushido,€€€,48,4.5,+493055242448,3378.2181934121986,52.5423217870669,13.4161812346983,Berlin,10437,Lychener Str. 18
